,pokemon,description,number_nationaldex
341,Crawdaunt,"
                  Crawdaunt has an extremely violent nature that compels it to
challenge other living things to battle. Other life-forms refuse
to live in ponds inhabited by this Pokémon, making them
desolate places.
                ",342
342,Baltoy,"
                  Baltoy moves while spinning around on its one foot. Primitive
wall paintings depicting this Pokémon living among people
were discovered in some ancient ruins.
                ",343
343,Claydol,"
                  Claydol are said to be dolls of mud made by primitive humans
and brought to life by exposure to a mysterious ray.
This Pokémon moves about while levitating.
                ",344
344,Lileep,"
                  Lileep became extinct approximately a hundred million years
ago. This ancient Pokémon attaches itself to a rock on the
seafloor and catches approaching prey using tentacles shaped
like flower petals.
                ",345
345,Cradily,"
                  Cradily roams around the ocean floor in search of food.
This Pokémon freely extends its tree trunk-like neck and
captures unwary prey using its eight tentacles.
                ",346
346,Anorith,"
                  Anorith was regenerated from a prehistoric fossil. This primitive
Pokémon once lived in warm seas. It grips its prey firmly
between its two large claws.
                ",347
347,Armaldo,"
                  Armaldo's tough armor makes all attacks bounce off. This
Pokémon's two enormous claws can be freely extended or
contracted. They have the power to punch right through a
steel slab.
                ",348
348,Feebas,"
                  Feebas's fins are ragged and tattered from the start of its life.
Because of its shoddy appearance, this Pokémon is largely
ignored. It is capable of living in both the sea and in rivers.
                ",349
349,Milotic,"
                  Milotic is said to be the most beautiful of all the Pokémon.
It has the power to becalm such emotions as anger and
hostility to quell bitter feuding.
                ",350
350,Castform,"
                  Castform's appearance changes with the weather.
This Pokémon gained the ability to use the vast power of
nature to protect its tiny body.
                ",351
351,Kecleon,"
                  Kecleon is capable of changing its body colors at will to blend
in with its surroundings. There is one exception—this Pokémon
can't change the zigzag pattern on its belly.
                ",352
352,Shuppet,"
                  Shuppet is attracted by feelings of jealousy and vindictiveness.
If someone develops strong feelings of vengeance, this
Pokémon will appear in a swarm and line up beneath the eaves
of that person's home.
                ",353
353,Banette,"
                  Banette generates energy for laying strong curses by sticking
pins into its own body. This Pokémon was originally a pitiful
plush doll that was thrown away.
                ",354
354,Duskull,"
                  Duskull can pass through any wall no matter how thick it may
be. Once this Pokémon chooses a target, it will doggedly
pursue the intended victim until the break of dawn.
                ",355
355,Dusclops,"
                  Dusclops's body is completely hollow—there is nothing at all
inside. It is said that its body is like a black hole. This
Pokémon will absorb anything into its body, but nothing will
ever come back out.
                ",356
356,Tropius,"
                  The bunches of fruit around Tropius's neck are very popular
with children. This Pokémon loves fruit, and eats it
continuously. Apparently, its love for fruit resulted in its own
outgrowth of fruit.
                ",357
357,Chimecho,"
                  Chimecho makes its cries echo inside its hollow body.
When this Pokémon becomes enraged, its cries result in
ultrasonic waves that have the power to knock foes flying.
                ",358
358,Absol,"
                  Every time Absol appears before people, it is followed by a
disaster such as an earthquake or a tidal wave. As a result,
it came to be known as the disaster Pokémon.
                ",359
359,Wynaut,"
                  Wynaut can always be seen with a big, happy smile on its face.
Look at its tail to determine if it is angry. When angered, this
Pokémon will be slapping the ground with its tail.
                ",360
360,Snorunt,"
                  Snorunt live in regions with heavy snowfall. In seasons
without snow, such as spring and summer, this Pokémon
steals away to live quietly among stalactites and stalagmites
deep in caverns.
                ",361
361,Glalie,"
                  Glalie has a body made of rock, which it hardens with an armor
of ice. This Pokémon has the ability to freeze moisture in the
atmosphere into any shape it desires.
                ",362
362,Spheal,"
                  Spheal is much faster rolling than walking to get around.
When groups of this Pokémon eat, they all clap at once to
show their pleasure. Because of this, their mealtimes are noisy.
                ",363
363,Sealeo,"
                  Sealeo has the habit of always juggling on the tip of its nose
anything it sees for the first time. This Pokémon occasionally
entertains itself by balancing and rolling a Spheal on its nose.
                ",364
364,Walrein,"
                  Walrein's two massively developed tusks can totally shatter
blocks of ice weighing 10 tons with one blow. This Pokémon's
thick coat of blubber insulates it from subzero temperatures.
                ",365
365,Clamperl,"
                  Clamperl's sturdy shell is not only good for protection—it is
also used for clamping and catching prey. A fully grown
Clamperl's shell will be scored with nicks and scratches
all over.
                ",366
366,Huntail,"
                  Huntail's presence went unnoticed by people for a long
time because it lives at extreme depths in the sea.
This Pokémon's eyes can see clearly even in the murky
dark depths of the ocean.
                ",367
367,Gorebyss,"
                  Gorebyss lives in the southern seas at extreme depths. Its
body is built to withstand the enormous pressure of water at
incredible depths. Because of this, this Pokémon's body is
unharmed by ordinary attacks.
                ",368
368,Relicanth,"
                  Relicanth is a Pokémon species that existed for a hundred
million years without ever changing its form. This ancient
Pokémon feeds on microscopic organisms with its
toothless mouth.
                ",369
369,Luvdisc,"
                  Luvdisc live in shallow seas in the tropics. This heart-shaped
Pokémon earned its name by swimming after loving couples it
spotted in the ocean's waves.
                ",370
370,Bagon,"
                  Bagon has a dream of one day soaring in the sky.
In doomed efforts to fly, this Pokémon hurls itself off cliffs.
As a result of its dives, its head has grown tough and as hard
as tempered steel.
                ",371
371,Shelgon,"
                  Inside Shelgon's armor-like shell, cells are in the midst of
transformation to create an entirely new body. This Pokémon's
shell is extremely heavy, making its movements sluggish.
                ",372
372,Salamence,"
                  Salamence came about as a result of a strong, long-held
dream of growing wings. It is said that this powerful desire
triggered a sudden mutation in this Pokémon's cells,
causing it to sprout its magnificent wings.
                ",373
373,Beldum,"
                  Instead of blood, a powerful magnetic force courses
throughout Beldum's body. This Pokémon communicates
with others by sending controlled pulses of magnetism.
                ",374
374,Metang,"
                  When two Beldum fuse together, Metang is formed. The brains
of the Beldum are joined by a magnetic nervous system.
By linking its brains magnetically, this Pokémon generates
strong psychokinetic power.
                ",375
375,Metagross,"
                  Metagross has four brains in total. Combined, the four brains
can breeze through difficult calculations faster than a
supercomputer. This Pokémon can float in the air by tucking in
its four legs.
                ",376
376,Regirock,"
                  Regirock was sealed away by people long ago. If this
Pokémon's body is damaged in battle, it is said to seek
out suitable rocks on its own to repair itself.
                ",377
377,Regice,"
                  Regice's body was made during an ice age. The deep-frozen
body can't be melted, even by fire. This Pokémon controls
frigid air of -328 degrees Fahrenheit.
                ",378
378,Registeel,"
                  Registeel has a body that is harder than any kind of metal.
Its body is apparently hollow. No one has any idea what this
Pokémon eats.
                ",379
379,Latias,"
                  Latias is highly sensitive to the emotions of people. If it senses
any hostility, this Pokémon ruffles the feathers all over its body
and cries shrilly to intimidate the foe.
                ",380
380,Latios,"
                  Latios has the ability to make others see an image of what it
has seen or imagines in its head. This Pokémon is intelligent
and understands human speech.
                ",381
381,Kyogre,"
                  Through Primal Reversion and with nature's
full power, it will take back its true form. It can
summon storms that cause the sea levels to rise.
                ",382
382,Groudon,"
                  Groudon is said to be the personification of the land
itself. Legends tell of its many clashes against Kyogre,
as each sought to gain the power of nature.
                ",383
383,Rayquaza,"
                  Rayquaza is said to have lived for hundreds of millions
of years. Legends remain of how it put to rest
the clash between Kyogre and Groudon.
                ",384
384,Jirachi,"
                  A legend states that Jirachi will make true any wish that is
written on notes attached to its head when it awakens. If this
Pokémon senses danger, it will fight without awakening.
                ",385
385,Deoxys,"
                  The DNA of a space virus underwent a sudden mutation upon
exposure to a laser beam and resulted in Deoxys.
The crystalline organ on this Pokémon's chest appears to be
its brain.
                ",386
386,Turtwig,"
                  Photosynthesis occurs across its body under the
sun. The shell on its back is actually hardened soil.
                ",387
387,Grotle,"
                  It lives along water in forests. In the daytime,
it leaves the forest to sunbathe its treed shell.
                ",388
388,Torterra,"
                  Ancient people imagined that beneath the ground,
a gigantic Torterra dwelled.
                ",389
389,Chimchar,"
                  Its fiery rear end is fueled by gas made in its belly.
Even rain can't extinguish the fire.
                ",390
390,Monferno,"
                  It skillfully controls the intensity of the fire on its
tail to keep its foes at an ideal distance.
                ",391
391,Infernape,"
                  Its crown of fire is indicative of its fiery nature.
It is beaten by none in terms of quickness.
                ",392
392,Piplup,"
                  It doesn't like to be taken care of. It's difficult to
bond with since it won't listen to its Trainer.
                ",393
393,Prinplup,"
                  It lives alone, away from others. Apparently, every
one of them believes it is the most important.
                ",394
394,Empoleon,"
                  It swims as fast as a jet boat. The edges of its
wings are sharp and can slice apart drifting ice.
                ",395
395,Starly,"
                  They flock in great numbers. Though small, they
flap their wings with great power.
                ",396
396,Staravia,"
                  They maintain huge flocks, although fierce scuffles
break out between various flocks.
                ",397
397,Staraptor,"
                  The muscles in its wings and legs are strong.
It can easily fly while gripping a small Pokémon.
                ",398
398,Bidoof,"
                  With nerves of steel, nothing can perturb it. It is
more agile and active than it appears.
                ",399
399,Bibarel,"
                  It busily makes its nest with stacks of branches and
roots it has cut up with its sharp incisors.
                ",400
400,Kricketot,"
                  It chats with others using the sounds of its colliding
antennae. These sounds are fall hallmarks.
                ",401
401,Kricketune,"
                  It crosses its knifelike arms in front of its chest
when it cries. It can compose melodies ad lib.
                ",402
402,Shinx,"
                  The extension and contraction of its muscles
generates electricity. It glows when in trouble.
                ",403
403,Luxio,"
                  Its claws loose electricity with enough amperage
to cause fainting. They live in small groups.
                ",404
404,Luxray,"
                  When its eyes gleam gold, it can spot hiding
prey—even those taking shelter behind a wall.
                ",405
405,Budew,"
                  When it feels the sun's warm touch, it opens its bud
to release pollen. It lives alongside clear pools.
                ",406
406,Roserade,"
                  Luring prey with a sweet scent, it uses poison whips
on its arms to poison, bind, and finish off the prey.
                ",407
407,Cranidos,"
                  It was resurrected from an iron ball-like fossil.
It downs prey with its headbutts.
                ",408
408,Rampardos,"
                  Its skull withstands impacts of any magnitude. As a
result, its brain never gets the chance to grow.
                ",409
409,Shieldon,"
                  It habitually polishes its face by rubbing it against
tree trunks. It is weak to attacks from behind.
                ",410
410,Bastiodon,"
                  When they lined up side by side, no foe could
break through. They shielded their young in
that way.
                ",411
411,Burmy,"
                  To shelter itself from cold, wintry winds, it covers
itself with a cloak made of twigs and leaves.
                ",412
412,Wormadam,"
                  Its appearance changes depending on where it
evolved. The materials on hand become a part of
its body.
                ",413
413,Mothim,"
                  It loves the honey of flowers and steals honey
collected by Combee.
                ",414
414,Combee,"
                  The trio is together from birth. It constantly gathers
honey from flowers to please Vespiquen.
                ",415
415,Vespiquen,"
                  It houses its colony in cells in its body and releases
various pheromones to make those grubs do its bidding.
                ",416
416,Pachirisu,"
                  It makes fur balls that crackle with static electricity.
It stores them with berries in tree holes.
                ",417
417,Buizel,"
                  It swims by rotating its two tails like a screw.
When it dives, its flotation sac collapses.
                ",418
418,Floatzel,"
                  It floats using its well-developed flotation sac.
It assists in the rescues of drowning people.
                ",419
419,Cherubi,"
                  Sunlight colors it red. When the small ball is
drained of nutrients, it shrivels to herald evolution.
                ",420
420,Cherrim,"
                  During times of strong sunlight, its bud blooms,
its petals open fully, and it becomes very active.
                ",421
421,Shellos,"
                  Beware of pushing strongly on its squishy body,
as it makes a mysterious purple fluid ooze out.
                ",422
422,Gastrodon,"
                  When its natural enemy attacks, it oozes purple
fluid and escapes.
                ",423
423,Ambipom,"
                  They work in large colonies and make rings by
linking their tails, apparently in friendship.
                ",424
424,Drifloon,"
                  A Pokémon formed by the spirits of people and Pokémon.
It loves damp, humid seasons.
                ",425
425,Drifblim,"
                  It carries people and Pokémon when it flies.
But since it only drifts, it can end up anywhere.
                ",426
426,Buneary,"
                  Its ears are always rolled up. They can be forcefully
extended to shatter even a large boulder.
                ",427
427,Lopunny,"
                  Extremely cautious, it quickly bounds off when it
senses danger.
                ",428
428,Mismagius,"
                  It chants incantations. While they usually torment
targets, some chants bring happiness.
                ",429
429,Honchkrow,"
                  If one utters a deep cry, many Murkrow gather
quickly. For this, it is called “Summoner of Night.”
                ",430
430,Glameow,"
                  It claws if displeased and purrs when affectionate.
Its fickleness is very popular among some.
                ",431
431,Purugly,"
                  It would claim another Pokémon's nest as its own
if it finds a nest sufficiently comfortable.
                ",432
432,Chingling,"
                  Each time it hops, it makes a ringing sound.
It deafens foes by emitting high-frequency cries.
                ",433
433,Stunky,"
                  It sprays a foul fluid from its rear. Its stench
spreads over a mile radius, driving Pokémon away.
                ",434
434,Skuntank,"
                  It sprays a vile-smelling fluid from the tip of its tail
to attack. Its range is over 160 feet.
                ",435
435,Bronzor,"
                  Ancient people believed that the pattern on
Bronzor's back contained a mysterious power.
                ",436
436,Bronzong,"
                  In ages past, this Pokémon was revered as a
bringer of rain. It was found buried in the ground.
                ",437
437,Bonsly,"
                  It prefers arid environments. It leaks water from its
eyes to adjust its body's fluid levels.
                ",438
438,Mime,"
                  In an attempt to confuse its enemy, it mimics the
enemy's movements. Then it wastes no time in
making itself scarce!
                ",r.
439,Happiny,"
                  It carries a round, egg-shaped rock in its belly
pouch and gives the rock to its friends.
                ",440
440,Chatot,"
                  It mimics the cries of other Pokémon to trick them
into thinking it's one of them. This way they won't
attack it.
                ",441
441,Spiritomb,"
                  A Pokémon that was formed by 108 spirits. It is
bound to a fissure in an odd keystone.
                ",442
442,Gible,"
                  It nests in horizontal holes warmed by geothermal
heat. Foes who get too close can expect to be
pounced on and bitten.
                ",443
443,Gabite,"
                  It loves sparkly things. It seeks treasures in caves
and hoards the loot in its nest.
                ",444
444,Garchomp,"
                  When it folds up its body and extends its wings,
it looks like a jet plane. It flies at sonic speed.
                ",445
445,Munchlax,"
                  It hides food under its long body hair. However,
it forgets it has hidden the food.
                ",446
446,Riolu,"
                  It uses the shapes of auras, which change
according to emotion, to communicate with others.
                ",447
447,Lucario,"
                  By catching the aura emanating from others, it can
read their thoughts and movements.
                ",448
448,Hippopotas,"
                  It lives in arid places. Instead of perspiration,
it expels grainy sand from its body.
                ",449
449,Hippowdon,"
                  It brandishes its gaping mouth in a display of
fearsome strength. It raises vast quantities of sand
while attacking.
                ",450
450,Skorupi,"
                  It grips prey with its tail claws and injects poison.
It tenaciously hangs on until the poison takes.
                ",451
451,Drapion,"
                  It takes pride in its strength. Even though it can
tear foes apart, it finishes them off with
powerful poison.
                ",452
452,Croagunk,"
                  Its cheeks hold poison sacs. It tries to catch foes
off guard to jab them with toxic fingers.
                ",453
453,Toxicroak,"
                  It has a poison sac at its throat. When it croaks,
the stored poison is churned for greater potency.
                ",454
454,Carnivine,"
                  It attracts prey with its sweet-smelling saliva, then
chomps down. It takes a whole day to eat prey.
                ",455
455,Finneon,"
                  The line running down its side can store sunlight.
It shines vividly at night.
                ",456
456,Lumineon,"
                  It lives on the deep-sea floor. It attracts prey by
flashing the patterns on its four tail fins.
                ",457
457,Mantyke,"
                  The pattern on its back varies by region.
It often swims in a school of Remoraid.
                ",458
458,Snover,"
                  During cold seasons, it migrates to the mountain's
lower reaches. It returns to the snow-covered
summit in the spring.
                ",459
459,Abomasnow,"
                  It blankets wide areas in snow by whipping up
blizzards. It is also known as “The Ice Monster.”
                ",460
460,Weavile,"
                  It lives in snowy regions. It carves patterns in trees
with its claws as a signal to others.
                ",461
461,Magnezone,"
                  Sometimes the magnetism emitted by Magnezone is
too strong, making them attract each other so they
cannot move.
                ",462
462,Lickilicky,"
                  It wraps things with its extensible tongue. Getting
too close to it will leave you soaked with drool.
                ",463
463,Rhyperior,"
                  From holes in its palms, it fires out Geodude.
Its carapace can withstand volcanic eruptions.
                ",464
464,Tangrowth,"
                  It ensnares prey by extending arms made of vines.
Losing arms to predators does not trouble it.
                ",465
465,Electivire,"
                  As its electric charge amplifies, blue sparks begin
to crackle between its horns.
                ",466
466,Magmortar,"
                  It blasts fireballs of over 3,600 degrees Fahrenheit
from the ends of its arms. It lives in
volcanic craters.
                ",467
467,Togekiss,"
                  As everyone knows, it visits peaceful regions,
bringing them gifts of kindness and
sweet blessings.
                ",468
468,Yanmega,"
                  It prefers to battle by biting apart foes' heads
instantly while flying by at high speed.
                ",469
469,Leafeon,"
                  When you see Leafeon asleep in a patch of
sunshine, you'll know it is using photosynthesis
to produce clean air.
                ",470
470,Glaceon,"
                  By controlling its body heat, it can freeze the
atmosphere around it to make a
diamond-dust flurry.
                ",471
471,Gliscor,"
                  It observes prey while hanging inverted from
branches. When the chance presents itself,
it swoops!
                ",472
472,Mamoswine,"
                  A frozen Mamoswine was dug from ice dating back
10,000 years. This Pokémon has been around a
long, long, long time.
                ",473
473,Porygon-Z,"
                  Additional software was installed to make it a better
Pokémon. It began acting oddly, however.
                ",474
474,Gallade,"
                  Because it can sense what its foe is thinking,
its attacks burst out first, fast, and fierce.
                ",475
475,Probopass,"
                  It exudes strong magnetism from all over.
It controls three small units called Mini-Noses.
                ",476
476,Dusknoir,"
                  It is said to take lost spirits into its pliant body and
guide them home.
                ",477
477,Froslass,"
                  It freezes foes with an icy breath nearly
-60 degrees Fahrenheit. What seems to be its body
is actually hollow.
                ",478
478,Rotom,"
                  Research continues on this Pokémon, which could
be the power source of a unique motor.
                ",479
479,Uxie,"
                  Known as “The Being of Knowledge.” It is said that
it can wipe out the memory of those who see
its eyes.
                ",480
480,Mesprit,"
                  Known as “The Being of Emotion.” It taught
humans the nobility of sorrow, pain, and joy.
                ",481
481,Azelf,"
                  Known as “The Being of Willpower.” It sleeps at the
bottom of a lake to keep the world in balance.
                ",482
482,Dialga,"
                  A Pokémon spoken of in legend. It is said that time
began moving when Dialga was born.
                ",483
483,Palkia,"
                  It is said to live in a gap in the spatial dimension
parallel to ours. It appears in mythology.
                ",484
484,Heatran,"
                  It dwells in volcanic caves. It digs in with its
cross-shaped feet to crawl on ceilings and walls.
                ",485
485,Regigigas,"
                  It is said to have made Pokémon that look like
itself from a special ice mountain, rocks,
and magma.
                ",486
486,Giratina,"
                  This Pokémon is said to live in a world on the
reverse side of ours, where common knowledge is
distorted and strange.
                ",487
487,Cresselia,"
                  Shiny particles are released from its wings like a
veil. It is said to represent the crescent moon.
                ",488
488,Phione,"
                  When the water warms, they inflate the flotation sac
on their heads and drift languidly on the sea
in packs.
                ",489
489,Manaphy,"
                  It is born with a wondrous power that lets it bond
with any kind of Pokémon.
                ",490
490,Darkrai,"
                  It chases people and Pokémon from its territory by
causing them to experience deep,
nightmarish slumbers.
                ",491
491,Shaymin,"
                  It can dissolve toxins in the air to instantly
transform ruined land into a lush field of flowers.
                ",492
492,Arceus,"
                  According to the legends of Sinnoh, this Pokémon
emerged from an egg and shaped all there is in
this world.
                ",493
493,Victini,"
                  This Pokémon brings victory. It is said that Trainers
with Victini always win, regardless of the type
of encounter.
                ",494
494,Snivy,"
                  Being exposed to sunlight makes its movements
swifter. It uses vines more adeptly than its hands.
                ",495
495,Servine,"
                  It moves along the ground as if sliding. Its swift
movements befuddle its foes, and it then attacks
with a vine whip.
                ",496
496,Serperior,"
                  It only gives its all against strong opponents who
are not fazed by the glare from Serperior's
noble eyes.
                ",497
497,Tepig,"
                  It can deftly dodge its foe's attacks while shooting
fireballs from its nose. It roasts berries before it
eats them.
                ",498
498,Pignite,"
                  The more it eats, the more fuel it has to make the
fire in its stomach stronger. This fills it with even
more power.
                ",499
499,Emboar,"
                  It can throw a fire punch by setting its fists on fire
with its fiery chin. It cares deeply about its friends.
                ",500
500,Oshawott,"
                  The scalchop on its stomach isn't just used for
battle—it can be used to break open hard berries
as well.
                ",501
501,Dewott,"
                  Strict training is how it learns its flowing
double-scalchop technique.
                ",502
502,Samurott,"
                  In the time it takes a foe to blink, it can draw and
sheathe the seamitars attached to its front legs.
                ",503
503,Patrat,"
                  Using food stored in cheek pouches, they can keep
watch for days. They use their tails to communicate
with others.
                ",504
504,Watchog,"
                  Using luminescent matter, it makes its eyes and
body glow and stuns attacking opponents.
                ",505
505,Lillipup,"
                  The long hair around its face provides an amazing
radar that lets it sense subtle changes in
its surroundings.
                ",506
506,Herdier,"
                  This very loyal Pokémon helps Trainers, and it also
takes care of other Pokémon.
                ",507
507,Stoutland,"
                  It rescues people stranded by blizzards in the
mountains. Its shaggy fur shields it from the cold.
                ",508
508,Purrloin,"
                  Its cute act is a ruse. When victims let down their
guard, they find their items taken. It attacks with
sharp claws.
                ",509
509,Liepard,"
                  Their beautiful form comes from the muscles they
have developed. They run silently in the night.
                ",510
510,Pansage,"
                  It shares the leaf on its head with weary-looking
Pokémon. These leaves are known to relieve stress.
                ",511
511,Simisage,"
                  It attacks enemies with strikes of its thorn-covered
tail. This Pokémon is wild tempered.
                ",512
512,Pansear,"
                  Very intelligent, it roasts berries before eating them.
It likes to help people.
                ",513
513,Simisear,"
                  A flame burns inside its body. It scatters embers
from its head and tail to sear its opponents.
                ",514
514,Panpour,"
                  The water stored inside the tuft on its head is full
of nutrients. It waters plants with it using its tail.
                ",515
515,Simipour,"
                  The high-pressure water expelled from its tail is so
powerful, it can destroy a concrete wall.
                ",516
516,Munna,"
                  This Pokémon appears before people and Pokémon
who are having nightmares and eats those dreams.
                ",517
517,Musharna,"
                  The mist emanating from their foreheads is packed
with the dreams of people and Pokémon.
                ",518
518,Pidove,"
                  This very forgetful Pokémon will wait for a new
order from its Trainer even though it already
has one.
                ",519
519,Tranquill,"
                  Many people believe that, deep in the forest where
Tranquill live, there is a peaceful place where there
is no war.
                ",520
520,Unfezant,"
                  Males swing their head plumage to threaten
opponents. The females' flying abilities surpass
those of the males.
                ",521
521,Blitzle,"
                  When thunderclouds cover the sky, it will appear.
It can catch lightning with its mane and store
the electricity.
                ",522
522,Zebstrika,"
                  When this ill-tempered Pokémon runs wild, it
shoots lightning from its mane in all directions.
                ",523
523,Roggenrola,"
                  Its ear is hexagonal in shape. Compressed
underground, its body is as hard as steel.
                ",524
524,Boldore,"
                  Because its energy was too great to be contained,
the energy leaked and formed orange crystals.
                ",525
525,Gigalith,"
                  The solar rays it absorbs are processed in its
energy core and fired as a ball of light.
                ",526
526,Woobat,"
                  Its habitat is dark forests and caves. It emits
ultrasonic waves from its nose to learn about
its surroundings.
                ",527
527,Swoobat,"
                  It shakes its tail vigorously when it emits ultrasonic
waves strong enough to reduce concrete to rubble.
                ",528
528,Drilbur,"
                  It makes its way swiftly through the soil by putting
both claws together and rotating at high speed.
                ",529
529,Excadrill,"
                  It can help in tunnel construction. Its drill has
evolved into steel strong enough to bore through
iron plates.
                ",530
530,Audino,"
                  Using the feelers on its ears, it can tell how
someone is feeling or when an egg might hatch.
                ",531
531,Timburr,"
                  These Pokémon appear at building sites and help
out with construction. They always carry
squared logs.
                ",532
532,Gurdurr,"
                  With strengthened bodies, they skillfully wield steel
beams to take down buildings.
                ",533
533,Conkeldurr,"
                  It is thought that Conkeldurr taught humans how to
make concrete more than 2,000 years ago.
                ",534
534,Tympole,"
                  By vibrating its cheeks, it emits sound waves
imperceptible to humans and warns others
of danger.
                ",535
535,Palpitoad,"
                  When they vibrate the bumps on their heads, they
can make waves in water or earthquake-like
vibrations on land.
                ",536
536,Seismitoad,"
                  It increases the power of its punches by vibrating
the bumps on its fists. It can turn a boulder to
rubble with one punch.
                ",537
537,Throh,"
                  When it tightens its belt, it becomes stronger. Wild
Throh use vines to weave their own belts.
                ",538
538,Sawk,"
                  Desiring the strongest karate chop, they seclude
themselves in mountains and train without sleeping.
                ",539
539,Sewaddle,"
                  This Pokémon makes clothes for itself. It chews up
leaves and sews them with sticky thread extruded
from its mouth.
                ",540
540,Swadloon,"
                  Forests where Swadloon live have superb foliage
because the nutrients they make from fallen leaves
nourish the plant life.
                ",541
541,Leavanny,"
                  Upon finding a small Pokémon, it weaves clothing
for it from leaves by using the sticky silk secreted
from its mouth.
                ",542
542,Venipede,"
                  It discovers what is going on around it by using the
feelers on its head and tail. It is brutally aggressive.
                ",543
543,Whirlipede,"
                  Protected by a hard shell, it spins its body like a
wheel and crashes furiously into its enemies.
                ",544
544,Scolipede,"
                  It clasps its prey with the claws on its neck until it
stops moving. Then it finishes it off with
deadly poison.
                ",545
545,Cottonee,"
                  When attacked, it escapes by shooting cotton from
its body. The cotton serves as a decoy to distract
the attacker.
                ",546
546,Whimsicott,"
                  They appear along with whirlwinds. They pull
pranks, such as moving furniture and leaving balls
of cotton in homes.
                ",547
547,Petilil,"
                  The leaves on its head are very bitter. Eating one
of these leaves is known to refresh a tired body.
                ",548
548,Lilligant,"
                  The fragrance of the garland on its head has a
relaxing effect. It withers if a Trainer does not take
good care of it.
                ",549
549,Basculin,"
                  Red- and blue-striped Basculin are very violent and
always fighting. They are also remarkably tasty.
                ",550
550,Sandile,"
                  It moves along below the sand's surface, except
for its nose and eyes. A dark membrane shields its
eyes from the sun.
                ",551
551,Krokorok,"
                  They live in groups of a few individuals. Protective
membranes shield their eyes from sandstorms.
                ",552
552,Krookodile,"
                  Very violent Pokémon, they try to clamp down on
anything that moves in front of their eyes.
                ",553
553,Darumaka,"
                  Darumaka's droppings are hot, so people used to
put them in their clothes to keep themselves warm.
                ",554
554,Darmanitan,"
                  When one is injured in a fierce battle, it hardens
into a stone-like form. Then it meditates and
sharpens its mind.
                ",555
555,Maractus,"
                  It uses an up-tempo song and dance to drive away
the bird Pokémon that prey on its flower seeds.
                ",556
556,Dwebble,"
                  It makes a hole in a suitable rock. If that rock
breaks, the Pokémon remains agitated until it
locates a replacement.
                ",557
557,Crustle,"
                  It possesses legs of enormous strength, enabling it
to carry heavy slabs for many days, even when
crossing arid land.
                ",558
558,Scraggy,"
                  Its skin has a rubbery elasticity, so it can reduce
damage by defensively pulling its skin up to
its neck.
                ",559
559,Scrafty,"
                  It pulls up its shed skin to protect itself while
it kicks. The bigger the crest, the more respected
it is.
                ",560
560,Sigilyph,"
                  The guardians of an ancient city, they use their
psychic power to attack enemies that invade
their territory.
                ",561
561,Yamask,"
                  These Pokémon arose from the spirits of people
interred in graves. Each retains memories of its
former life.
                ",562
562,Cofagrigus,"
                  It has been said that they swallow those who get
too close and turn them into mummies. They like to
eat gold nuggets.
                ",563
563,Tirtouga,"
                  About 100 million years ago, these Pokémon swam
in oceans. It is thought they also went on land to
attack prey.
                ",564
564,Carracosta,"
                  They can live both in the ocean and on land. A slap
from one of them is enough to open a hole in the
bottom of a tanker.
                ",565
565,Archen,"
                  Revived from a fossil, this Pokémon is thought to
be the ancestor of all bird Pokémon.
                ",566
566,Archeops,"
                  They are intelligent and will cooperate to catch
prey. From the ground, they use a running start to
take flight.
                ",567
567,Trubbish,"
                  The combination of garbage bags and industrial
waste caused the chemical reaction that created
this Pokémon.
                ",568
568,Garbodor,"
                  It clenches opponents with its left arm and finishes
them off with foul-smelling poison gas belched from
its mouth.
                ",569
569,Zorua,"
                  It changes so it looks just like its foe, tricks it, and
then uses that opportunity to flee.
                ",570
570,Zoroark,"
                  Each has the ability to fool a large group of people
simultaneously. They protect their lair with
illusory scenery.
                ",571
571,Minccino,"
                  Minccino greet each other by grooming one another
thoroughly with their tails.
                ",572
572,Cinccino,"
                  Their white fur feels amazing to touch. Their fur
repels dust and prevents static electricity from
building up.
                ",573
573,Gothita,"
                  Their ribbonlike feelers increase their psychic
power. They are always staring at something.
                ",574
574,Gothorita,"
                  Starlight is the source of their power. At night,
they mark star positions by using psychic power
to float stones.
                ",575
575,Gothitelle,"
                  Starry skies thousands of light-years away are
visible in the space distorted by their intense
psychic power.
                ",576
576,Solosis,"
                  Because their bodies are enveloped in a special
liquid, they are fine in any environment, no matter
how severe.
                ",577
577,Duosion,"
                  Since they have two divided brains, at times they
suddenly try to take two different actions at once.
                ",578
578,Reuniclus,"
                  They use psychic power to control their arms,
which are made of a special liquid. They can crush
boulders psychically.
                ",579
579,Ducklett,"
                  When attacked, it uses its feathers to splash water,
escaping under cover of the spray.
                ",580
580,Swanna,"
                  Despite their elegant appearance, they can flap
their wings strongly and fly for thousands of miles.
                ",581
581,Vanillite,"
                  The temperature of their breath is -58 degrees
Fahrenheit. They create snow crystals and make
snow fall in the areas around them.
                ",582
582,Vanillish,"
                  They cool down the surrounding air and create ice
particles, which they use to freeze their foes.
                ",583
583,Vanilluxe,"
                  If both heads get angry simultaneously, this
Pokémon expels a blizzard, burying everything
in snow.
                ",584
584,Deerling,"
                  Their coloring changes according to the seasons
and can be slightly affected by the temperature and
humidity as well.
                ",585
585,Sawsbuck,"
                  They migrate according to the seasons. People can
tell the season by looking at Sawsbuck's horns.
                ",586
